center_x,center_y,height,radius
335546.41115485126,4982878.574226151,126.948,4994163.621620839
335546.5555265935,4982878.875649786,127.157,4994163.932063367
335546.6375559825,4982878.998283307,127.32199999999999,4994164.059931151
335546.51023220876,4982878.677502361,127.42699999999999,4994163.73132046
335546.48914903926,4982878.51253792,127.541,4994163.565312252
335546.4629162206,4982878.652367782,127.64899999999999,4994163.703063627
335546.57253266044,4982878.736779233,127.80499999999999,4994163.7946492145
335546.6936415317,4982878.858112918,127.93799999999999,4994163.9238457605
335546.70359814004,4982878.852014581,128.039,4994163.9184301635
335546.5872536274,4982878.636986768,128.132,4994163.696071313
335546.5459167841,4982878.475139387,128.242,4994163.531812324
335546.48845864274,4982878.3447055295,128.344,4994163.397812723
335546.81236840144,4982878.618256728,129.15699999999998,4994163.692508555
335546.62774849357,4982878.254801224,129.36149999999998,4994163.317470138
335546.64512004104,4982878.5283032255,129.46699999999998,4994163.591521278
335546.69213021646,4982878.792534106,129.53,4994163.858313595
335546.69618617854,4982878.548241132,129.64,4994163.614845147
335546.04251550755,4982878.911354518,129.949,4994163.933219411
335546.3140290856,4982877.882554384,130.06,4994162.924986369
335546.64899612416,4982878.673136206,130.164,4994163.736287422
335546.5618451781,4982878.802631243,130.344,4994163.859634366
335546.5870662069,4982878.794170547,130.4705,4994163.8528873315
335546.65361697297,4982878.642623339,130.5425,4994163.70615396
335546.6820303619,4982878.461625859,130.6705,4994163.527474509
335546.64087577094,4982878.716407564,130.75400000000002,4994163.778915411
335546.70008420496,4982878.583733113,130.868,4994163.650518845
335546.5502206313,4982879.130531717,130.93849999999998,4994164.186012885
335546.6712150249,4982878.377219303,131.058,4994163.442532036
335546.6855611555,4982878.602199224,131.14,4994163.667967462
335546.49157847546,4982879.865668526,131.271,4994164.915548518
335546.73924247036,4982878.459432236,131.352,4994163.5291298
335546.66631826124,4982878.601034416,131.458,4994163.665512398
335546.70120564295,4982878.3526244955,131.54649999999998,4994163.420007797
335546.6780608148,4982878.845612898,131.6615,4994163.91032717
335546.6921222515,4982878.403170308,131.754,4994163.4698290955
335546.702043376,4982878.787125331,131.836,4994163.8535830965
335546.69413350994,4982878.607696924,131.934,4994163.674028689
335546.73454128864,4982878.693417154,132.04749999999999,4994163.762270131
335546.889956775,4982878.5998007655,132.1615,4994163.679307309
335546.84934038215,4982878.589175435,132.267,4994163.665977065
335546.8023330721,4982878.634852332,132.35999999999999,4994163.708392436
335546.8071722704,4982878.348503401,132.43849999999998,4994163.423015691
335546.7911629982,4982878.536370664,132.54399999999998,4994163.609382815
335546.87291122554,4982878.500192868,132.635,4994163.5787792485
335546.9134909136,4982878.55458479,132.75,4994163.635774728
335546.8832563813,4982878.903881798,132.84199999999998,4994163.98225105
335546.8911599844,4982878.454770467,132.9495,4994163.534685575
335546.9223223259,4982878.7250323845,133.05599999999998,4994163.806430526
335547.0294763609,4982878.795973632,133.1395,4994163.884410924
335546.92565732705,4982878.74146411,133.2385,4994163.823049208
335546.9355736086,4982878.2066963995,133.3285,4994163.290156126
335546.9196334699,4982878.816756451,133.45049999999998,4994163.89776668
335546.87484194594,4982878.451078197,133.5425,4994163.529905293
335546.9812005157,4982878.42942321,133.66049999999998,4994163.51544523
335546.9485464306,4982878.524586547,133.77249999999998,4994163.608199585
335546.9470582673,4982878.513510019,133.855,4994163.597048093
335546.9665049087,4982878.246187125,133.946,4994163.331635836
335547.0009123345,4982878.64543047,134.06849999999997,4994163.732288777
335546.9416422073,4982878.455287236,134.14999999999998,4994163.538592989
335547.0593868543,4982878.689529234,134.25599999999997,4994163.780216675
335547.03897806845,4982878.560995033,134.363,4994163.650601683
335547.0446966502,4982878.395210122,134.4555,4994163.485575627
335546.9766837534,4982878.662682275,134.547,4994163.747873744
335547.09215046617,4982878.579187383,134.644,4994163.672325478
335547.10070755536,4982878.588790038,134.754,4994163.682481369
335547.1055859744,4982878.587691985,134.8385,4994163.681713564
335547.12949044094,4982878.418291129,134.95499999999998,4994163.514301593
335547.11028768285,4982878.591671427,135.06199999999998,4994163.685999922
335547.11936405726,4982878.641047966,135.1585,4994163.735874688
335547.1058910188,4982878.626319249,135.244,4994163.720274046
335547.25579262903,4982878.278206253,135.37699999999998,4994163.383019226
335547.12489571393,4982878.385959524,135.446,4994163.481734347
335547.1795543456,4982878.306754188,135.553,4994163.406380381
335547.1850075238,4982878.17427698,135.63,4994163.274568914
335547.1528779141,4982878.487337276,135.73649999999998,4994163.584763066
335547.30242937047,4982878.051043075,135.852,4994163.159502782
335547.25767637545,4982878.317770723,135.94,4994163.422620882
