center_x,center_y,height,radius
335546.5038333333,4982878.933166667,126.95083333333332,4994163.621620839
335546.6048,4982878.909399999,127.155,4994163.932063367
335546.587,4982878.9234,127.34259999999999,4994164.059931151
335546.67742857145,4982878.882428572,127.42414285714283,4994163.73132046
335546.6494,4982878.8758000005,127.5394,4994163.565312252
335546.58885714284,4982878.854428572,127.64471428571427,4994163.703063627
335546.63820000004,4982878.8754,127.8366,4994163.7946492145
335546.63971428573,4982878.883428572,127.95014285714285,4994163.9238457605
335546.703,4982878.865833334,128.03233333333333,4994163.9184301635
335546.69757142855,4982878.864000001,128.1355714285714,4994163.696071313
335546.75114285713,4982878.803714286,128.24971428571428,4994163.531812324
335546.6880909091,4982878.804909091,128.3349090909091,4994163.397812723
335546.85120000003,4982878.658,129.1504,4994163.692508555
335546.53866666666,4982878.759833333,129.34699999999998,4994163.317470138
335546.735875,4982878.6395,129.46124999999998,4994163.591521278
335546.8257142858,4982878.698714286,129.53214285714284,4994163.858313595
335546.77880000003,4982878.749600001,129.64539999999997,4994163.614845147
335546.09725,4982878.751125,129.9495,4994163.933219411
335546.50565000006,4982878.68525,130.0571,4994162.924986369
335546.7548181818,4982878.635090909,130.15763636363639,4994163.736287422
335546.5998888889,4982878.745111112,130.34644444444444,4994163.859634366
335546.79287500004,4982878.6645,130.46412499999997,4994163.8528873315
335546.75575,4982878.667833334,130.54883333333333,4994163.70615396
335546.770625,4982878.5956875,130.6681875,4994163.527474509
335546.69895,4982878.59745,130.75054999999998,4994163.778915411
335546.7276153846,4982878.536769231,130.8613846153846,4994163.650518845
335546.57054166665,4982878.583291667,130.94479166666667,4994164.186012885
335546.77594117646,4982878.556529411,131.04741176470588,4994163.442532036
335546.64218181814,4982878.614636363,131.14545454545453,4994163.667967462
335546.5359,4982878.627699999,131.2645,4994164.915548518
335546.7393333333,4982878.606999999,131.35373333333334,4994163.5291298
335546.5713846154,4982878.631076923,131.45092307692306,4994163.665512398
335546.9183,4982878.640800001,131.551,4994163.420007797
335546.687125,4982878.661375001,131.653875,4994163.91032717
335546.37025000004,4982878.572749999,131.75291666666666,4994163.4698290955
335546.4622857143,4982878.506214285,131.84335714285717,4994163.8535830965
335546.4412,4982878.521933333,131.9435333333333,4994163.674028689
335546.541875,4982878.516875,132.058875,4994163.762270131
335546.4733333334,4982878.528666667,132.16533333333334,4994163.679307309
335546.95480000007,4982878.5328,132.2661,4994163.665977065
335546.83204761904,4982878.525666667,132.36452380952383,4994163.708392436
335546.8705,4982878.542875,132.44025,4994163.423015691
335546.64621052635,4982878.5763157895,132.54457894736842,4994163.609382815
335547.0043076923,4982878.440307693,132.64800000000002,4994163.5787792485
335546.9672727272,4982878.499727272,132.75054545454543,4994163.635774728
335546.67888888885,4982878.470611111,132.84672222222218,4994163.98225105
335547.1798125,4982878.4308125,132.95137499999998,4994163.534685575
335546.6472666667,4982878.4632,133.05339999999998,4994163.806430526
335547.1195,4982878.319833334,133.14266666666663,4994163.884410924
335546.87999999995,4982878.452,133.24491666666665,4994163.823049208
335547.245125,4982878.414,133.33149999999998,4994163.290156126
335546.8119375,4982878.480375,133.44956249999998,4994163.89776668
335546.795625,4982878.447437501,133.54568749999999,4994163.529905293
335547.21837500005,4982878.373,133.6523125,4994163.51544523
335546.89441666665,4982878.343208333,133.7649583333333,4994163.608199585
335546.8609310345,4982878.368689656,133.85031034482756,4994163.597048093
